code	level	term	prefix	range	group
8403/3	Preferred	Malignant eccrine spiradenoma	840	839-842	Adnexal and skin appendage neoplasms
8404/0	Preferred	Hidrocystoma	840	839-842	Adnexal and skin appendage neoplasms
8404/0	Synonym	Hidrocystadenoma	840	839-842	Adnexal and skin appendage neoplasms
8404/0	Synonym	Eccrine cystadenoma	840	839-842	Adnexal and skin appendage neoplasms
8405/0	Preferred	Papillary hidradenoma	840	839-842	Adnexal and skin appendage neoplasms
8405/0	Synonym	Hidradenoma papilliferum	840	839-842	Adnexal and skin appendage neoplasms
8406/0	Preferred	Syringocystadenoma papilliferum	840	839-842	Adnexal and skin appendage neoplasms
8406/0	Synonym	Papillary syringadenoma	840	839-842	Adnexal and skin appendage neoplasms
8406/0	Synonym	Papillary syringocystadenoma	840	839-842	Adnexal and skin appendage neoplasms
8406/3	Preferred	Syringocystadenocarcinoma papilliferum	840	839-842	Adnexal and skin appendage neoplasms
8407/0	Preferred	Syringoma, NOS	840	839-842	Adnexal and skin appendage neoplasms
8407/0	Synonym	Syringomatous adenoma of nipple	840	839-842	Adnexal and skin appendage neoplasms
8407/0	Synonym	Infiltrating syringomatous adenoma of nipple	840	839-842	Adnexal and skin appendage neoplasms
8407/3	Preferred	Microcystic adnexal carcinoma	840	839-842	Adnexal and skin appendage neoplasms
8407/3	Synonym	Sclerosing sweat duct carcinoma	840	839-842	Adnexal and skin appendage neoplasms
8407/3	Synonym	Syringomatous carcinoma	840	839-842	Adnexal and skin appendage neoplasms
8408/0	Preferred	Eccrine papillary adenoma	840	839-842	Adnexal and skin appendage neoplasms
8408/3	Preferred	Digital papillary adenocarcinoma	840	839-842	Adnexal and skin appendage neoplasms
8408/3	Synonym	Aggressive digital papillary adenoma	840	839-842	Adnexal and skin appendage neoplasms
8408/3	Synonym	Eccrine papillary adenocarcinoma	840	839-842	Adnexal and skin appendage neoplasms
8409/0	Preferred	Poroma, NOS	840	839-842	Adnexal and skin appendage neoplasms
8409/2	Preferred	Porocarcinoma in situ	840	839-842	Adnexal and skin appendage neoplasms
8409/3	Preferred	Porocarcinoma, NOS	840	839-842	Adnexal and skin appendage neoplasms
8409/3	Synonym	Eccrine poroma, malignant	840	839-842	Adnexal and skin appendage neoplasms
8410/0	Preferred	Sebaceoma	841	839-842	Adnexal and skin appendage neoplasms
8410/3	Preferred	Sebaceous carcinoma	841	839-842	Adnexal and skin appendage neoplasms
8410/3	Synonym	Sebaceous adenocarcinoma	841	839-842	Adnexal and skin appendage neoplasms
8413/3	Preferred	Eccrine adenocarcinoma	841	839-842	Adnexal and skin appendage neoplasms
8420/0	Preferred	Ceruminous adenoma	842	839-842	Adnexal and skin appendage neoplasms
8420/3	Preferred	Ceruminous adenocarcinoma	842	839-842	Adnexal and skin appendage neoplasms
8420/3	Synonym	Ceruminous carcinoma	842	839-842	Adnexal and skin appendage neoplasms
8430/1	Preferred	Mucoepidermoid tumor	843	843	Mucoepidermoid neoplasms
8430/3	Preferred	Mucoepidermoid carcinoma	843	843	Mucoepidermoid neoplasms
8440/0	Preferred	Cystadenoma, NOS	844	844-849	Cystic, mucinous and serous neoplasms
8440/0	Synonym	Cystoma, NOS	844	844-849	Cystic, mucinous and serous neoplasms
8440/3	Preferred	Cystadenocarcinoma, NOS	844	844-849	Cystic, mucinous and serous neoplasms
8441/0	Preferred	Serous cystadenoma, NOS	844	844-849	Cystic, mucinous and serous neoplasms
8441/0	Synonym	Serous cystoma	844	844-849	Cystic, mucinous and serous neoplasms
8441/0	Synonym	Papillary serous cystadenoma, NOS	844	844-849	Cystic, mucinous and serous neoplasms
8441/2	Preferred	Serous intraepithelial carcinoma	844	844-849	Cystic, mucinous and serous neoplasms
8441/3	Preferred	Serous carcinoma, NOS	844	844-849	Cystic, mucinous and serous neoplasms
8441/3	Synonym	Serous cystadenocarcinoma, NOS	844	844-849	Cystic, mucinous and serous neoplasms
8441/3	Synonym	Serous adenocarcinoma, NOS	844	844-849	Cystic, mucinous and serous neoplasms
8441/3	Synonym	Serous papillary adenocarcinoma, NOS	844	844-849	Cystic, mucinous and serous neoplasms
8441/3	Synonym	Papillary serous cystadenocarcinoma	844	844-849	Cystic, mucinous and serous neoplasms
8441/3	Synonym	Papillary serous adenocarcinoma	844	844-849	Cystic, mucinous and serous neoplasms
8441/3	Synonym	Serous surface papillary carcinoma	844	844-849	Cystic, mucinous and serous neoplasms
8442/1	Preferred	Serous borderline tumor, NOS	844	844-849	Cystic, mucinous and serous neoplasms
8442/1	Synonym	Serous tumor, atypical proliferative	844	844-849	Cystic, mucinous and serous neoplasms
8442/1	Synonym	Serous cystadenoma, borderline malignancy	844	844-849	Cystic, mucinous and serous neoplasms
8442/1	Synonym	Serous tumor, NOS, of low malignant potential	844	844-849	Cystic, mucinous and serous neoplasms
8442/1	Synonym	Serous papillary cystic tumor of borderline malignancy	844	844-849	Cystic, mucinous and serous neoplasms
8442/1	Synonym	Atypical proliferative papillary serous tumor	844	844-849	Cystic, mucinous and serous neoplasms
8442/1	Synonym	Papillary serous cystadenoma, borderline malignancy	844	844-849	Cystic, mucinous and serous neoplasms
8442/1	Synonym	Papillary serous tumor of low malignant potential	844	844-849	Cystic, mucinous and serous neoplasms
8442/1	Synonym	Serous surface papillary tumor of borderline malignancy	844	844-849	Cystic, mucinous and serous neoplasms
8443/0	Preferred	Clear cell cystadenoma	844	844-849	Cystic, mucinous and serous neoplasms
8450/0	Preferred	Papillary cystadenoma, NOS	845	844-849	Cystic, mucinous and serous neoplasms
8450/3	Preferred	Papillary cystadenocarcinoma, NOS	845	844-849	Cystic, mucinous and serous neoplasms
8450/3	Synonym	Papillocystic adenocarcinoma	845	844-849	Cystic, mucinous and serous neoplasms
8451/1	Preferred	Papillary cystadenoma, borderline malignancy	845	844-849	Cystic, mucinous and serous neoplasms
8452/1	Preferred	Solid pseudopapillary tumor of ovary	845	844-849	Cystic, mucinous and serous neoplasms
8452/1	Synonym	Papillary cystic tumor	845	844-849	Cystic, mucinous and serous neoplasms
8452/1	Synonym	Solid and cystic tumor	845	844-849	Cystic, mucinous and serous neoplasms
8452/1	Synonym	Solid and papillary epithelial neoplasm	845	844-849	Cystic, mucinous and serous neoplasms
8452/3	Preferred	Solid pseudopapillary neoplasm of the pancreas	845	844-849	Cystic, mucinous and serous neoplasms
8453/0	Preferred	Intraductal Papillary mucinous adenoma	845	844-849	Cystic, mucinous and serous neoplasms
8453/0	Synonym	Intraductal Papillary mucinous neoplasm with low grade dysplasia	845	844-849	Cystic, mucinous and serous neoplasms
8453/0	Synonym	Intraductal Papillary mucinous neoplasm with moderate dysplasia	845	844-849	Cystic, mucinous and serous neoplasms
8453/2	Preferred	Intraductal Papillary mucinous neoplasm with high grade dysplasia	845	844-849	Cystic, mucinous and serous neoplasms
8453/3	Preferred	Intraductal Papillary mucinous neoplasm with an associated invasive carcinoma	845	844-849	Cystic, mucinous and serous neoplasms
8454/0	Preferred	Cystic tumor of atrio-ventricular node	845	844-849	Cystic, mucinous and serous neoplasms
8460/2	Preferred	Serous borderline tumor, micropapillary variant	846	844-849	Cystic, mucinous and serous neoplasms
8460/2	Synonym	Serous carcinoma, non invasive, low grade	846	844-849	Cystic, mucinous and serous neoplasms
8460/3	Preferred	Low grade serous carcinoma	846	844-849	Cystic, mucinous and serous neoplasms
8461/0	Preferred	Serous surface papilloma	846	844-849	Cystic, mucinous and serous neoplasms
8461/3	Preferred	High grade serous carcinoma	846	844-849	Cystic, mucinous and serous neoplasms
8470/0	Preferred	Mucinous cystadenoma, NOS	847	844-849	Cystic, mucinous and serous neoplasms
8470/0	Synonym	Papillary mucinous cystadenoma, NOS	847	844-849	Cystic, mucinous and serous neoplasms
8470/0	Synonym	Papillary pseudomucinous cystadenoma, NOS	847	844-849	Cystic, mucinous and serous neoplasms
8470/0	Synonym	Pseudomucinous cystadenoma, NOS	847	844-849	Cystic, mucinous and serous neoplasms
8470/0	Synonym	Mucinous cystoma	847	844-849	Cystic, mucinous and serous neoplasms
8470/2	Preferred	Mucinous cystic neoplasm with high grade dysplasia	847	844-849	Cystic, mucinous and serous neoplasms
8470/2	Synonym	Mucinous cystic neoplasm with high grade intraepithelial neoplasia	847	844-849	Cystic, mucinous and serous neoplasms
8470/3	Preferred	Mucinous cystadenocarcinoma, NOS	847	844-849	Cystic, mucinous and serous neoplasms
8470/3	Synonym	Pseudomucinous cystadenocarcinoma, NOS	847	844-849	Cystic, mucinous and serous neoplasms
8470/3	Synonym	Pseudomucinous adenocarcinoma	847	844-849	Cystic, mucinous and serous neoplasms
8470/3	Synonym	Mucinous cystic neoplasm with an associated invasive carcinoma	847	844-849	Cystic, mucinous and serous neoplasms
8470/3	Synonym	Papillary mucinous cystadenocarcinoma	847	844-849	Cystic, mucinous and serous neoplasms
8470/3	Synonym	Papillary pseudomucinous cystadenocarcinoma	847	844-849	Cystic, mucinous and serous neoplasms
8472/1	Preferred	Mucinous cystic tumor of borderline malignancy	847	844-849	Cystic, mucinous and serous neoplasms
8472/1	Synonym	Mucinous borderline tumor	847	844-849	Cystic, mucinous and serous neoplasms
8472/1	Synonym	Mucinous tumor, NOS, of low malignant potential	847	844-849	Cystic, mucinous and serous neoplasms
8472/1	Synonym	Atypical proliferative mucinous tumor	847	844-849	Cystic, mucinous and serous neoplasms
8472/1	Synonym	Mucinous cystadenoma, borderline malignancy	847	844-849	Cystic, mucinous and serous neoplasms
8472/1	Synonym	Pseudomucinous cystadenoma, borderline malignancy	847	844-849	Cystic, mucinous and serous neoplasms
8472/1	Synonym	Papillary mucinous cystadenoma, borderline malignancy	847	844-849	Cystic, mucinous and serous neoplasms
8472/1	Synonym	Papillary pseudomucinous cystadenoma, borderline malignancy	847	844-849	Cystic, mucinous and serous neoplasms
8472/1	Synonym	Papillary mucinous tumor of low malignant potential	847	844-849	Cystic, mucinous and serous neoplasms
8474/0	Preferred	Seromucinous cystadenoma	847	844-849	Cystic, mucinous and serous neoplasms
8474/1	Preferred	Seromucinous borderline tumor	847	844-849	Cystic, mucinous and serous neoplasms
8474/1	Synonym	Seromucinous tumor, atypical proliferative	847	844-849	Cystic, mucinous and serous neoplasms
8474/3	Preferred	Seromucinous carcinoma	847	844-849	Cystic, mucinous and serous neoplasms
8480/0	Preferred	Mucinous adenoma	848	844-849	Cystic, mucinous and serous neoplasms
8480/1	Preferred	Low grade appendiceal mucinous neoplasm	848	844-849	Cystic, mucinous and serous neoplasms
8480/3	Preferred	Mucinous adenocarcinoma	848	844-849	Cystic, mucinous and serous neoplasms
8480/3	Synonym	Acinar adenocarcinoma, mucinous variant	848	844-849	Cystic, mucinous and serous neoplasms
8480/3	Synonym	Colloid adenocarcinoma	848	844-849	Cystic, mucinous and serous neoplasms
8480/3	Synonym	Colloid carcinoma	848	844-849	Cystic, mucinous and serous neoplasms
8480/3	Synonym	Gelatinous adenocarcinoma	848	844-849	Cystic, mucinous and serous neoplasms
8480/3	Synonym	Gelatinous carcinoma	848	844-849	Cystic, mucinous and serous neoplasms
8480/3	Synonym	Mucinous carcinoma	848	844-849	Cystic, mucinous and serous neoplasms
8480/3	Synonym	Mucoid adenocarcinoma	848	844-849	Cystic, mucinous and serous neoplasms
8480/3	Synonym	Mucoid carcinoma	848	844-849	Cystic, mucinous and serous neoplasms
8480/3	Synonym	Mucous adenocarcinoma	848	844-849	Cystic, mucinous and serous neoplasms
8480/3	Synonym	Mucous carcinoma	848	844-849	Cystic, mucinous and serous neoplasms
8480/6	Preferred	Pseudomyxoma peritonei	848	844-849	Cystic, mucinous and serous neoplasms
8481/3	Preferred	Mucin-producing adenocarcinoma	848	844-849	Cystic, mucinous and serous neoplasms
8481/3	Synonym	Mucin-producing carcinoma	848	844-849	Cystic, mucinous and serous neoplasms
8481/3	Synonym	Mucin-secreting adenocarcinoma	848	844-849	Cystic, mucinous and serous neoplasms
8481/3	Synonym	Mucin-secreting carcinoma	848	844-849	Cystic, mucinous and serous neoplasms
8482/3	Preferred	Mucinous carcinoma, gastric type	848	844-849	Cystic, mucinous and serous neoplasms
8482/3	Synonym	Mucinous adenocarcinoma, endocervical type	848	844-849	Cystic, mucinous and serous neoplasms
8490/3	Preferred	Signet ring cell carcinoma	849	844-849	Cystic, mucinous and serous neoplasms
8490/3	Synonym	Signet ring cell adenocarcinoma	849	844-849	Cystic, mucinous and serous neoplasms
8490/3	Synonym	Acinar adenocarcinoma, signet ring-like variant	849	844-849	Cystic, mucinous and serous neoplasms
8490/3	Synonym	Mucinous carcinoma, signet ring cell type	849	844-849	Cystic, mucinous and serous neoplasms
8490/6	Preferred	Metastatic signet ring cell carcinoma	849	844-849	Cystic, mucinous and serous neoplasms
8500/2	Preferred	Intraductal carcinoma, noninfiltrating, NOS	850	850-854	Ductal and lobular neoplasms
8500/2	Synonym	Intraductal adenocarcinoma, noninfiltrating, NOS	850	850-854	Ductal and lobular neoplasms
8500/2	Synonym	Intraductal carcinoma, NOS	850	850-854	Ductal and lobular neoplasms
8500/2	Synonym	DCIS, NOS	850	850-854	Ductal and lobular neoplasms
8500/2	Synonym	DIN 3	850	850-854	Ductal and lobular neoplasms
8500/2	Synonym	Ductal intraepithelial neoplasia 3	850	850-854	Ductal and lobular neoplasms
8500/3	Preferred	Infiltrating duct carcinoma, NOS	850	850-854	Ductal and lobular neoplasms
8500/3	Synonym	Invasive breast carcinoma of no special type	850	850-854	Ductal and lobular neoplasms
8500/3	Synonym	Duct adenocarcinoma, NOS	850	850-854	Ductal and lobular neoplasms
8500/3	Synonym	Duct carcinoma, NOS	850	850-854	Ductal and lobular neoplasms
8500/3	Synonym	Ductal carcinoma, NOS	850	850-854	Ductal and lobular neoplasms
8500/3	Synonym	Duct cell carcinoma	850	850-854	Ductal and lobular neoplasms
8500/3	Synonym	Infiltrating duct adenocarcinoma	850	850-854	Ductal and lobular neoplasms
8501/2	Preferred	Comedocarcinoma, noninfiltrating	850	850-854	Ductal and lobular neoplasms
8501/2	Synonym	Ductal carcinoma in situ, comedo type	850	850-854	Ductal and lobular neoplasms
8501/2	Synonym	DCIS, comedo type	850	850-854	Ductal and lobular neoplasms
8501/3	Preferred	Comedocarcinoma, NOS	850	850-854	Ductal and lobular neoplasms
8502/3	Preferred	Secretory carcinoma	850	850-854	Ductal and lobular neoplasms
8503/0	Preferred	Intraductal papilloma	850	850-854	Ductal and lobular neoplasms
8503/0	Synonym	Duct adenoma, NOS	850	850-854	Ductal and lobular neoplasms
8503/0	Synonym	Ductal papilloma	850	850-854	Ductal and lobular neoplasms
8503/0	Synonym	Intracystic papillary neoplasm with intermediate grade intraepithelial neoplasia	850	850-854	Ductal and lobular neoplasms
8503/0	Synonym	Intraglandular papillary neoplasm with low grade intraepithelial neoplasia	850	850-854	Ductal and lobular neoplasms
8503/0	Synonym	Intraductal papillary neoplasm with intermediate grade neoplasia	850	850-854	Ductal and lobular neoplasms
8503/2	Preferred	Noninfiltrating intraductal papillary adenocarcinoma	850	850-854	Ductal and lobular neoplasms
8503/2	Synonym	Intraductal papillary adenocarcinoma, NOS	850	850-854	Ductal and lobular neoplasms
8503/2	Synonym	Intraductal papillary carcinoma, NOS	850	850-854	Ductal and lobular neoplasms
8503/2	Synonym	DCIS, papillary	850	850-854	Ductal and lobular neoplasms
8503/2	Synonym	Ductal carcinoma in situ, papillary	850	850-854	Ductal and lobular neoplasms
8503/2	Synonym	Noninfiltrating intraductal papillary carcinoma	850	850-854	Ductal and lobular neoplasms
8503/2	Synonym	Intracystic papillary neoplasm with high grade intraepithelial neoplasia	850	850-854	Ductal and lobular neoplasms
8503/2	Synonym	Intracystic papillary tumor with high grade dysplasia	850	850-854	Ductal and lobular neoplasms
8503/2	Synonym	Intracystic papillary tumor with high grade intraepithelial neoplasia	850	850-854	Ductal and lobular neoplasms
8503/2	Synonym	Intraductal papillary neoplasm with high grade dysplasia	850	850-854	Ductal and lobular neoplasms
8503/2	Synonym	Intraductal papillary tumor with high grade dysplasia	850	850-854	Ductal and lobular neoplasms
8503/2	Synonym	Intraductal papillary tumor with high grade intraepithelial neoplasia	850	850-854	Ductal and lobular neoplasms
8503/3	Preferred	Intraductal papillary adenocarcinoma with invasion	850	850-854	Ductal and lobular neoplasms
8503/3	Synonym	Infiltrating papillary adenocarcinoma	850	850-854	Ductal and lobular neoplasms
8503/3	Synonym	Infiltrating and papillary adenocarcinoma	850	850-854	Ductal and lobular neoplasms
8503/3	Synonym	Intracystic papillary neoplasm with associated invasive carcinoma	850	850-854	Ductal and lobular neoplasms
8504/0	Preferred	Intracystic papillary adenoma	850	850-854	Ductal and lobular neoplasms
8504/0	Synonym	Intracystic papilloma	850	850-854	Ductal and lobular neoplasms
8504/2	Preferred	Encapsulated papillary carcinoma	850	850-854	Ductal and lobular neoplasms
8504/2	Synonym	Noninfiltrating intracystic carcinoma	850	850-854	Ductal and lobular neoplasms
8504/2	Synonym	Encysted papillary carcinoma	850	850-854	Ductal and lobular neoplasms
8504/2	Synonym	Intracystic papillary carcinoma	850	850-854	Ductal and lobular neoplasms
8504/2	Synonym	Intracystic carcinoma, NOS	850	850-854	Ductal and lobular neoplasms
8504/2	Synonym	Intracystic papillary adenocarcinoma	850	850-854	Ductal and lobular neoplasms
8504/3	Preferred	Encapsulated papillary carcinoma with invasion	850	850-854	Ductal and lobular neoplasms
8504/3	Synonym	Encysted papillary carcinoma with invasion	850	850-854	Ductal and lobular neoplasms
8504/3	Synonym	Intracystic papillary carcinoma with invasion	850	850-854	Ductal and lobular neoplasms
8505/0	Preferred	Intraductal papillomatosis, NOS	850	850-854	Ductal and lobular neoplasms
8505/0	Synonym	Diffuse intraductal papillomatosis	850	850-854	Ductal and lobular neoplasms
8506/0	Preferred	Adenoma of nipple	850	850-854	Ductal and lobular neoplasms
8506/0	Synonym	Subareolar duct papillomatosis	850	850-854	Ductal and lobular neoplasms
8507/2	Preferred	Intraductal micropapillary carcinoma	850	850-854	Ductal and lobular neoplasms
8507/2	Synonym	Ductal carcinoma in situ, micropapillary	850	850-854	Ductal and lobular neoplasms
8507/3	Preferred	Invasive micropapillary carcinoma of breast	850	850-854	Ductal and lobular neoplasms
8507/3	Synonym	Micropapillary carcinoma of breast	850	850-854	Ductal and lobular neoplasms
8508/3	Preferred	Cystic hypersecretory carcinoma	850	850-854	Ductal and lobular neoplasms
8509/2	Preferred	Solid papillary carcinoma in situ	850	850-854	Ductal and lobular neoplasms
8509/3	Preferred	Solid papillary carcinoma with invasion	850	850-854	Ductal and lobular neoplasms
8510/3	Preferred	Medullary carcinoma, NOS	851	850-854	Ductal and lobular neoplasms
8512/3	Preferred	Medullary carcinoma with lymphoid stroma	851	850-854	Ductal and lobular neoplasms
8513/3	Preferred	Atypical medullary carcinoma	851	850-854	Ductal and lobular neoplasms
8514/3	Preferred	Duct carcinoma, desmoplastic type	851	850-854	Ductal and lobular neoplasms
8519/2	Preferred	Lobular carcinoma in situ, pleomorphic	851	850-854	Ductal and lobular neoplasms
8519/2	Synonym	LCIS, pleomorphic	851	850-854	Ductal and lobular neoplasms
8520/2	Preferred	Lobular carcinoma in situ, NOS	852	850-854	Ductal and lobular neoplasms
8520/2	Synonym	LCIS, NOS	852	850-854	Ductal and lobular neoplasms
8520/2	Synonym	Lobular carcinoma, noninfiltrating	852	850-854	Ductal and lobular neoplasms
8520/2	Synonym	Lobular carcinoma in situ, classic	852	850-854	Ductal and lobular neoplasms
8520/3	Preferred	Lobular carcinoma, NOS	852	850-854	Ductal and lobular neoplasms
8520/3	Synonym	Infiltrating lobular carcinoma, NOS	852	850-854	Ductal and lobular neoplasms
8520/3	Synonym	Lobular adenocarcinoma	852	850-854	Ductal and lobular neoplasms
8521/3	Preferred	Infiltrating ductular carcinoma	852	850-854	Ductal and lobular neoplasms
8522/2	Preferred	Intraductal carcinoma and lobular carcinoma in situ	852	850-854	Ductal and lobular neoplasms
8522/3	Preferred	Infiltrating duct and lobular carcinoma	852	850-854	Ductal and lobular neoplasms
8522/3	Synonym	Lobular and ductal carcinoma	852	850-854	Ductal and lobular neoplasms
8523/3	Preferred	Infiltrating duct mixed with other types of carcinoma	852	850-854	Ductal and lobular neoplasms
8524/3	Preferred	Infiltrating lobular mixed with other types of carcinoma	852	850-854	Ductal and lobular neoplasms
8525/3	Preferred	Polymorphous adenocarcinoma	852	850-854	Ductal and lobular neoplasms
8525/3	Synonym	Polymorphous carcinoma	852	850-854	Ductal and lobular neoplasms
8525/3	Synonym	Terminal duct adenocarcinoma	852	850-854	Ductal and lobular neoplasms
8530/3	Preferred	Inflammatory carcinoma	853	850-854	Ductal and lobular neoplasms
8530/3	Synonym	Inflammatory adenocarcinoma	853	850-854	Ductal and lobular neoplasms
8540/3	Preferred	Paget disease, mammary	854	850-854	Ductal and lobular neoplasms
8540/3	Synonym	Paget disease of breast	854	850-854	Ductal and lobular neoplasms
8540/3	Synonym	Paget disease of nipple	854	850-854	Ductal and lobular neoplasms
8541/3	Preferred	Paget disease and infiltrating duct carcinoma of breast	854	850-854	Ductal and lobular neoplasms
8542/3	Preferred	Paget disease, extramammary	854	850-854	Ductal and lobular neoplasms
8543/3	Preferred	Paget disease and intraductal carcinoma of breast	854	850-854	Ductal and lobular neoplasms
8550/0	Preferred	Acinar cell adenoma	855	855	Acinar cell neoplasms
8550/0	Synonym	Acinar adenoma	855	855	Acinar cell neoplasms
8550/0	Synonym	Acinic cell adenoma	855	855	Acinar cell neoplasms
8550/1	Preferred	Acinar cell tumor	855	855	Acinar cell neoplasms
8550/1	Synonym	Acinic cell tumor	855	855	Acinar cell neoplasms
8550/3	Preferred	Acinar cell carcinoma	855	855	Acinar cell neoplasms
8550/3	Synonym	Acinar adenocarcinoma, NOS	855	855	Acinar cell neoplasms
8550/3	Synonym	Acinar carcinoma	855	855	Acinar cell neoplasms
8550/3	Synonym	Acinic cell adenocarcinoma	855	855	Acinar cell neoplasms
8551/3	Preferred	Acinar cell cystadenocarcinoma	855	855	Acinar cell neoplasms
8552/3	Preferred	Mixed acinar-ductal carcinoma	855	855	Acinar cell neoplasms
8560/0	Preferred	Mixed squamous cell and glandular papilloma	856	856-857	Complex epithelial neoplasms
8560/0	Synonym	Tubulosquamous polyp	856	856-857	Complex epithelial neoplasms
8560/3	Preferred	Adenosquamous carcinoma	856	856-857	Complex epithelial neoplasms
8560/3	Synonym	Mixed adenocarcinoma and epidermoid carcinoma	856	856-857	Complex epithelial neoplasms
8560/3	Synonym	Mixed adenocarcinoma and squamous cell carcinoma	856	856-857	Complex epithelial neoplasms
8561/0	Preferred	Adenolymphoma	856	856-857	Complex epithelial neoplasms
8561/0	Synonym	Papillary cystadenoma lymphomatosum	856	856-857	Complex epithelial neoplasms
8561/0	Synonym	Warthin tumor	856	856-857	Complex epithelial neoplasms
8562/3	Preferred	Epithelial-myoepithelial carcinoma	856	856-857	Complex epithelial neoplasms
8563/0	Preferred	Lymphadenoma	856	856-857	Complex epithelial neoplasms
8570/3	Preferred	Adenocarcinoma with squamous metaplasia	857	856-857	Complex epithelial neoplasms
8570/3	Synonym	Adenoacanthoma	857	856-857	Complex epithelial neoplasms
8571/3	Preferred	Adenocarcinoma with cartilaginous and osseous metaplasia	857	856-857	Complex epithelial neoplasms
8571/3	Synonym	Adenocarcinoma with cartilaginous metaplasia	857	856-857	Complex epithelial neoplasms
8571/3	Synonym	Adenocarcinoma with chondroid differentiation	857	856-857	Complex epithelial neoplasms
8571/3	Synonym	Adenocarcinoma with osseous metaplasia	857	856-857	Complex epithelial neoplasms
8572/3	Preferred	Adenocarcinoma with spindle cell metaplasia	857	856-857	Complex epithelial neoplasms
8572/3	Synonym	Acinar adenocarcinoma, sarcomatoid variant	857	856-857	Complex epithelial neoplasms
8573/3	Preferred	Adenocarcinoma with apocrine metaplasia	857	856-857	Complex epithelial neoplasms
8573/3	Synonym	Carcinoma with apocrine metaplasia	857	856-857	Complex epithelial neoplasms
8574/3	Preferred	Adenocarcinoma with neuroendocrine differentiation	857	856-857	Complex epithelial neoplasms
8574/3	Synonym	Carcinoma with neuroendocrine differentiation	857	856-857	Complex epithelial neoplasms
8574/3	Synonym	Adenocarcinoma admixed with neuroendocrine carcinoma	857	856-857	Complex epithelial neoplasms
8575/3	Preferred	Metaplastic carcinoma, NOS	857	856-857	Complex epithelial neoplasms
8576/3	Preferred	Hepatoid adenocarcinoma	857	856-857	Complex epithelial neoplasms
8576/3	Synonym	Hepatoid carcinoma	857	856-857	Complex epithelial neoplasms
8580/0	Preferred	Microscopic thymoma	858	858	Thymic epithelial neoplasms
8580/1	Preferred	Micronodular thymoma with lymphoid stroma	858	858	Thymic epithelial neoplasms
8580/3	Preferred	Thymoma, NOS	858	858	Thymic epithelial neoplasms
8581/3	Preferred	Thymoma, type A	858	858	Thymic epithelial neoplasms
8581/3	Synonym	Thymoma, medullary	858	858	Thymic epithelial neoplasms
8581/3	Synonym	Thymoma, spindle cell	858	858	Thymic epithelial neoplasms
8582/3	Preferred	Thymoma, type AB	858	858	Thymic epithelial neoplasms
8582/3	Synonym	Thymoma, mixed type	858	858	Thymic epithelial neoplasms
8583/3	Preferred	Thymoma, type B1	858	858	Thymic epithelial neoplasms
8583/3	Synonym	Thymoma, lymphocyte-rich	858	858	Thymic epithelial neoplasms
8583/3	Synonym	Thymoma, lymphocytic	858	858	Thymic epithelial neoplasms
8583/3	Synonym	Thymoma, organoid	858	858	Thymic epithelial neoplasms
8583/3	Synonym	Thymoma, predominantly cortical	858	858	Thymic epithelial neoplasms
8584/3	Preferred	Thymoma, type B2	858	858	Thymic epithelial neoplasms
8584/3	Synonym	Thymoma, cortical	858	858	Thymic epithelial neoplasms
8585/3	Preferred	Thymoma, type B3	858	858	Thymic epithelial neoplasms
8585/3	Synonym	Thymoma, atypical	858	858	Thymic epithelial neoplasms
8585/3	Synonym	Thymoma, epithelial	858	858	Thymic epithelial neoplasms
8585/3	Synonym	Well differentiated thymic carcinoma	858	858	Thymic epithelial neoplasms
8586/3	Preferred	Thymic carcinoma, NOS	858	858	Thymic epithelial neoplasms
8586/3	Synonym	Thymoma, type C	858	858	Thymic epithelial neoplasms
8587/0	Preferred	Ectopic hamartomatous thymoma	858	858	Thymic epithelial neoplasms
8588/3	Preferred	Spindle epithelial tumor with thymus-like element	858	858	Thymic epithelial neoplasms
8588/3	Synonym	SETTLE	858	858	Thymic epithelial neoplasms
8588/3	Synonym	Spindle epithelial tumor with thymus-like differentiation	858	858	Thymic epithelial neoplasms
8589/3	Preferred	Intrathyroid thymic carcinoma	858	858	Thymic epithelial neoplasms
8589/3	Synonym	Carcinoma showing thymus-like element	858	858	Thymic epithelial neoplasms
8589/3	Synonym	Carcinoma showing thymus-like differentiation	858	858	Thymic epithelial neoplasms
8589/3	Synonym	CASTLE	858	858	Thymic epithelial neoplasms
8590/0	Preferred	Sex cord-stromal tumor, benign	859	859-867	Specialized gonadal neoplasms
8590/1	Preferred	Sex cord-gonadal stromal tumor, NOS	859	859-867	Specialized gonadal neoplasms
8590/1	Synonym	Gonadal stromal tumor, NOS	859	859-867	Specialized gonadal neoplasms
8590/1	Synonym	Sex cord tumor, NOS	859	859-867	Specialized gonadal neoplasms
8590/1	Synonym	Sex cord-stromal tumor, NOS	859	859-867	Specialized gonadal neoplasms
8590/1	Synonym	Ovarian stromal tumor	859	859-867	Specialized gonadal neoplasms
8590/1	Synonym	Testicular stromal tumor	859	859-867	Specialized gonadal neoplasms
8591/1	Preferred	Sex cord-gonadal stromal tumor, incompletely differentiated	859	859-867	Specialized gonadal neoplasms
8592/1	Preferred	Sex cord-gonadal stromal tumor, mixed forms	859	859-867	Specialized gonadal neoplasms
8592/1	Synonym	Sex cord-gonadal stromal tumor, mixed	859	859-867	Specialized gonadal neoplasms
